Processing Method,Classifier,Dataset,Overall accuracy,Sensitivity,Specificity,Average accuracy per fold,Patients correct ratio,Channels,Hyperparameters,Notes,Details
HFD,Linear SVM,PP/PNP-all_limbs,0.48636968085106386,0.34365129500947567,0.6449122807017544,0.48550778804615446,0.5087719298245614,['Cz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.4434840425531915,0.6854074542008844,0.17473684210526316,0.44369552642500176,0.47368421052631576,['C1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.45378989361702127,0.5287428932406822,0.3705263157894737,0.45969572112699364,0.3684210526315789,['C2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.5691489361702128,0.5704358812381554,0.5677192982456141,0.5753504968407674,0.5964912280701754,['C3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.4833776595744681,0.32659507264687304,0.6575438596491228,0.4898557231521582,0.47368421052631576,['C4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.42054521276595747,0.5350600126342387,0.29333333333333333,0.4271520268972056,0.42105263157894735,['C5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.5159574468085106,0.37523689197725835,0.6722807017543859,0.5202494175007556,0.49122807017543857,['C6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.5302526595744681,0.5085281111813014,0.5543859649122806,0.5316877008194691,0.543859649122807,['C7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.5501994680851063,0.4902084649399874,0.6168421052631579,0.5590700538294129,0.543859649122807,['C8'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.5013297872340425,0.38597599494630447,0.6294736842105263,0.507312925743398,0.5614035087719298,['FCz'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.45146276595744683,0.7132027795325332,0.1607017543859649,0.44987491706373933,0.43859649122807015,['FC1'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.4930186170212766,0.5129500947567909,0.4708771929824561,0.4930473751493122,0.47368421052631576,['FC2'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.47273936170212766,0.7024636765634871,0.21754385964912282,0.4765858846747142,0.47368421052631576,['FC3'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.4418218085106383,0.49463044851547694,0.3831578947368421,0.44752204309929555,0.47368421052631576,['FC4'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.4876994680851064,0.5685407454200885,0.39789473684210525,0.4907515185957441,0.5263157894736842,['FC5'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.5249335106382979,0.49715729627289956,0.5557894736842105,0.5254466724475044,0.543859649122807,['FC6'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
HFD,Linear SVM,PP/PNP-all_limbs,0.33876329787234044,0.5691724573594441,0.08280701754385965,0.3416401006375869,0.2807017543859649,['FT7'],0.1,"{""window start"": 0, ""window size"": 2, ""k"": 7}",
